entity_id,entity_name,entity_type
271,杨凝式,人名
272,李建中,人名
273,钱沣,人名
274,,人名
275,伊秉绶,人名
276,翁同龢,人名
277,何绍基,人名
278,赵之谦,人名
279,藏真,字号
280,湖南长沙,地名
281,高闲,人名
282,赵佶,人名
283,少温,字号
284,赵郡(治今河北赵县),地名
285,洪亮吉,人名
286,张惠言,人名
287,张从申,人名
288,沈传师,人名
289,子言,字号
290,诚悬,字号
291,京兆华原(今山西耀县),地名
292,柳体,书体/印风
293,王铎,人名
294,梁同书,人名
295,左宗棠,人名
296,裴休,人名
297,公美,字号
298,孟州济源(今河南济源),地名
299,宋儋,人名
300,藏诸,字号
301,广平(今属河北),地名
302,楷书,书体/印风
303,可大,字号
304,虔州赣县(今江西赣县),地名
305,杜牧,人名
306,牧之,字号
307,京兆万年(今陕西西安),地名
308,杜佑（祖父）,人名
309,乌程(今浙江湖州),地名
310,亚栖,人名
311,永嘉(今浙江温州),地名
312,景度,字号
313,虚白、癸巳人、希维居士、关西老农,字号
314,唐—五代,时间
315,华阴(今陕西华阴),地名
316,王安石,人名
317,李煜,人名
318,初名从嘉,字号
319,白莲居士等,字号
320,五代·南唐,时间
321,金错刀,流派
322,撮襟书,流派
323,徐铉,人名
324,鼎臣,字号
325,宋,时间
326,扬州广陵(今江苏扬州),地名
327,徐锴（弟）,人名
328,章友直,人名
329,得中,字号
330,岩夫民伯,字号
331,开封(今河南开封),地名
332,篆书,书体/印风
333,林逋,人名
334,君复,字号
335,杜衍,人名
336,世昌,字号
337,范仲淹,人名
338,希文,字号
339,伯益,字号
340,福建建安,地名
341,玉箸篆,书体/印风
342,文彦博,人名
343,宽夫,字号
344,汾州介休(今山西介休),地名
345,吕公弼,人名
346,宝臣,字号
347,寿州(今安徽寿县),地名
348,欧阳修,人名
349,永叔,字号
350,醉翁,字号
351,庐陵(今江西吉安),地名
352,韩琦,人名
353,稚圭,字号
354,戆叟,字号
355,桐州安阳(今河南安阳),地名
356,富弼,人名
357,苏洵,人名
358,明允,字号
359,老泉,字号
360,眉州眉山(今四川眉山),地名
361,韩绛,人名
362,子华,字号
363,开封雍丘(今河南杞县),地名
364,君谟,字号
365,兴化仙游(今福建仙游),地名
366,司马光,人名
367,君实,字号
368,陕州夏县(山西夏县),地名
369,介甫,字号
370,半山,字号
371,江西临川,地名
372,钱公辅,人名
373,君倚,字号
374,武进(今江苏常州),地名
375,沈遘,人名
376,文通,字号
377,西溪,字号
378,沈辽（弟）、沈括（从弟）,人名
379,范纯仁,人名
380,尧夫,字号
381,范仲淹（父）,人名
382,吕大防,人名
383,微仲,字号
384,京兆蓝田(今陕西蓝田),地名
385,沈辽,人名
386,叡达,字号
387,云巢,字号
388,沈遘（兄）,人名
389,王诜,人名
390,晋卿,字号
391,山西太原,地名
392,苏轼（为其作记）,人名
393,子瞻,字号
394,东坡居士,字号
395,苏洵（父）,人名
396,苏辙（弟）,人名
397,苏辙,人名
398,苏过,人名
399,苏迈,人名
400,吴宽,人名
401,李流芳,人名
402,张之洞,人名
403,子由,字号
404,颍滨、栾城、颍滨遗老,字号
405,眉州眉山（今四川眉山）,地名
406,王岩叟,人名
407,彦霖,字号
408,大名清平（今河北大名）,地名
409,鲁,字号
410,涪翁、山谷道人,字号
411,洪州分宁（今江西修水）,地名
412,张耒,人名
413,晁补之,人名
414,秦,人名
415,沈周,人名
416,蔡京,人名
417,元长,字号
418,仙游（今福建仙游）,地名
419,蔡卞,人名
420,元章,字号
421,鹿门居士、襄阳漫士、海岳外史,字号
422,祖籍太原（今属山西）,地名
423,米友仁,人名
424,王庭筠,人名
425,吴琚,人名
426,元度,字号
427,伯达,字号
428,叔党,字号
429,斜川居士、小坡,字号
430,胡安国,人名
431,崇安（今福建崇安）,地名
432,王升,人名
433,逸老,字号
434,羔羊居士,字号
435,汴（今河南开封）,地名
436,米友,字号
437,元晖,字号
438,懒拙道人,字号
439,祖籍山西太原,地名
440,涿州（今河北涿州）,地名
441,瘦金体,流派
442,薛曜,人名
443,蒋灿,人名
444,宣卿,字号
445,宜兴（今江苏宜兴）,地名
446,秦桧,人名
447,会之,字号
448,江宁,地名
449,张九成,人名
450,子韶,字号
451,横浦、无垢居士,字号
452,其先开封人,地名
453,扬无咎,字号
454,补之,字号
455,逃禅老人、清夷长者,字号
456,本蜀郡成都人,地名
457,王巩,人名
458,定国,字号
459,清虚先生,字号
460,魏州（今河北大名）,地名
461,邵䶵,字号
462,仲恭,字号
463,江苏丹阳,地名
464,王安中,人名
465,履道,字号
466,初寮,字号
467,中山阳曲（今山西太原）,地名
468,陈旸,人名
469,晋之,字号
470,福建福州,地名
471,薛绍彭,人名
472,道祖,字号
473,翠微居士,字号
474,长安（今陕西西安）,地名
475,德基,字号
476,涿州（今河北涿县）,地名
477,虞允文,人名
478,彬甫,字号
479,隆州仁寿（今四川仁寿）,地名
480,杨万里,人名
481,廷秀,字号
482,诚斋,字号
483,吉水（今江西吉水）,地名
484,范成大,人名
485,尤袤,人名
486,务观,字号
487,放翁、笠泽翁、九曲老樵,字号
488,山阴（今浙江绍兴）,地名
489,致能,字号
490,石湖,字号
491,吴郡（今江苏苏州）,地名
492,赵昚,人名
493,元永,字号
494,梁克家,人名
495,叔子,字号
496,泉州晋江（今福建泉州市）,地名
497,朱熹,人名
498,元晦,字号
499,晦庵、云谷老人、沧州病叟、遁翁,字号
500,婺源（今属江西婺源）,地名
501,葛长庚,人名
502,白叟、如晦,字号
503,福建闽清,地名
504,张孝祥,人名
505,安国,字号
506,于湖,字号
507,历阳乌江（今安徽和县）,地名
508,张即之,人名
509,张栻,人名
510,敬夫、乐斋,字号
511,南轩,字号
512,汉州绵竹（今四川绵竹）,地名
513,张浚,人名
514,吕祖谦,人名
515,楼钥,人名
516,大防,字号
517,攻媿主人,字号
518,鄞县（今浙江宁波）,地名
519,姜夔,人名
520,尧章,字号
521,白石道人,字号
522,鄱阳（今江西鄱阳）,地名
523,魏了翁,人名
524,华父,字号
525,鹤山,字号
526,邛州蒲江（今四川蒲江）,地名
527,温夫,字号
528,樗寮,字号
529,历阳（今安徽和县）,地名
530,赵孟坚,人名
531,子固,字号
532,彝斋居士,字号
533,浙江海盐,地名
534,吴说,人名
535,傅朋,字号
536,练塘,字号
537,钱塘（今浙江杭州）,地名
538,游丝书,流派
539,居父,字号
540,云壑,字号
541,文天祥,人名
542,宋端、履善,字号
543,文山,字号
544,吉州吉水（今江西吉安）,地名
545,吴升,人名
546,潜夫,字号
547,定庵,字号
548,婺源（今江西婺源）,地名
549,陈容,人名
550,公储,字号
551,所翁,字号
552,长乐（今福建长乐）,地名
553,蔡松年,人名
554,伯坚,字号
555,萧闲老人,字号
556,金,时间
557,真定（今河北正定）,地名
558,吴激,人名
559,施宜生,人名
560,明望,字号
561,三住老人,字号
562,福建浦城（一作邵武）,地名
563,蔡珪,人名
564,正甫,字号
565,子端,字号
566,黄华山人、黄华老人,字号
567,河东（今山西永济）,地名
568,赵秉文,人名
569,张天锡,人名
570,鲜于枢,人名
571,周臣,字号
572,闲闲居士,字号
573,磁州滏阳（今河北磁县）,地名
574,耶律楚材,人名
575,玉泉、湛然居士,字号
576,元,时间
577,契丹人,地名
578,商挺,人名
579,孟卿,字号
580,左山、左山老人,字号
581,曹州济阴（今山东菏泽）,地名
582,钱选,人名
583,舜举,字号
584,玉潭、巽峰、清癯老人、习懒翁、霅川翁,字号
